ColorName,ColorHEX
Blue ,#0000FF
SpringGreen ,#00FF7F
DarkGray ,#A9A9A9
LightBlue ,#ADD8E6
GreenYellow ,#ADFF2F
PaleTurquoise ,#AFEEEE
LightSteelBlue ,#B0C4DE
Navy ,#000080
MediumBlue ,#0000CD
DarkGreen ,#006400
Green ,#008000
Teal ,#008080
DeepSkyBlue ,#00BFFF
DarkTurquoise ,#00CED1
MediumSpringGreen ,#00FA9A
Lime ,#00FF00
Aqua ,#00FFFF
Cyan ,#00FFFF
MidnightBlue ,#191970
DodgerBlue ,#1E90FF
LightSeaGreen ,#20B2AA
ForestGreen ,#228B22
SeaGreen ,#2E8B57
DarkSlateGray ,#2F4F4F
LimeGreen ,#32CD32
MediumSeaGreen ,#3CB371
Turquoise ,#40E0D0
RoyalBlue ,#4169E1
SteelBlue ,#4682B4
DarkSlateBlue ,#483D8B
MediumTurquoise ,#48D1CC
CadetBlue ,#5F9EA0
CornflowerBlue ,#6495ED
MediumAquaMarine ,#66CDAA
DimGray ,#696969
SlateBlue ,#6A5ACD
OliveDrab ,#6B8E23
SlateGray ,#708090
LightSlateGray ,#778899
MediumSlateBlue ,#7B68EE
LawnGreen ,#7CFC00
Chartreuse ,#7FFF00
Aquamarine ,#7FFFD4
Maroon ,#800000
Purple ,#800080
Olive ,#808000
Gray ,#808080
SkyBlue ,#87CEEB
LightSkyBlue ,#87CEFA
BlueViolet ,#8A2BE2
DarkRed ,#8B0000
DarkMagenta ,#8B008B
SaddleBrown ,#8B4513
DarkSeaGreen ,#8FBC8F
LightGreen ,#90EE90
MediumPurple ,#9370D8
DarkViolet ,#9400D3
PaleGreen ,#98FB98
DarkOrchid ,#9932CC
YellowGreen ,#9ACD32
Sienna ,#A0522D
Brown ,#A52A2A
PowderBlue ,#B0E0E6
FireBrick ,#B22222
DarkGoldenRod ,#B8860B
MediumOrchid ,#BA55D3
RosyBrown ,#BC8F8F
DarkKhaki ,#BDB76B
Chocolate ,#D2691E
Tan ,#D2B48C
PaleVioletRed ,#D87093
Thistle ,#D8BFD8
Orchid ,#DA70D6
GoldenRod ,#DAA520
Crimson ,#DC143C
Gainsboro ,#DCDCDC
Plum ,#DDA0DD
BurlyWood ,#DEB887
LightCyan ,#E0FFFF
Lavender ,#E6E6FA
DarkSalmon ,#E9967A
Violet ,#EE82EE
PaleGoldenRod ,#EEE8AA
LightCoral ,#F08080
Khaki ,#F0E68C
AliceBlue ,#F0F8FF
HoneyDew ,#F0FFF0
Azure ,#F0FFFF
SandyBrown ,#F4A460
Wheat ,#F5DEB3
Beige ,#F5F5DC
WhiteSmoke ,#F5F5F5
MintCream ,#F5FFFA
GhostWhite ,#F8F8FF
Salmon ,#FA8072
AntiqueWhite ,#FAEBD7
Linen ,#FAF0E6
LightGoldenRodYellow ,#FAFAD2
OldLace ,#FDF5E6
Red ,#FF0000
Fuchsia ,#FF00FF
Magenta ,#FF00FF
DeepPink ,#FF1493
OrangeRed ,#FF4500
Tomato ,#FF6347
HotPink ,#FF69B4
Coral ,#FF7F50
Darkorange ,#FF8C00
LightSalmon ,#FFA07A
Orange ,#FFA500
LightPink ,#FFB6C1
Pink ,#FFC0CB
Gold ,#FFD700
PeachPuff ,#FFDAB9
NavajoWhite ,#FFDEAD
Moccasin ,#FFE4B5
Bisque ,#FFE4C4
MistyRose ,#FFE4E1
BlanchedAlmond ,#FFEBCD
PapayaWhip ,#FFEFD5
LavenderBlush ,#FFF0F5
SeaShell ,#FFF5EE
Cornsilk ,#FFF8DC
LemonChiffon ,#FFFACD
FloralWhite ,#FFFAF0
Snow ,#FFFAFA
Yellow ,#FFFF00
LightYellow ,#FFFFE0
Ivory ,#FFFFF0
White ,#FFFFFF
